UID,SITE,FID_fishnet_lap_201807_site04,TotalFishnetArea_1,Area_ha_drone,Area_ha_CONABIO,Area_ha_GMW,Area_ha_dCONABIO,Area_ha_dGMW,Area_ha_union_dCONABIO,Area_ha_union_dGMW
463,lap_201807_site01,18,1,0.8103379,0.969951105,0.994252691,0.809955271,0.8103379,0.970333745,0.994252691
464,lap_201807_site01,19,1,0.295173351,0.61936104,0.793945287,0.276654818,0.294596031,0.637879578,0.794522607
465,lap_201807_site01,20,0.406561033,0.028346484,0.065239343,0.065239343,0.028346484,0.028346484,0.065239343,0.065239343
466,lap_201807_site01,23,1.000000015,0.750888527,0.725004054,0.851338039,0.650535461,0.711400878,0.825356733,0.890825229
467,lap_201807_site01,24,1,0.97713317,1,1,0.97713317,0.97713317,1,1
468,lap_201807_site01,25,1,0.726014278,0.972116292,1,0.723301539,0.726014278,0.974828983,1
469,lap_201807_site01,26,0.83055749,0.049218752,0.298909635,0.416725678,0.048792734,0.049113014,0.299335599,0.416831431
470,lap_201807_site01,27,0.035923093,0.008982412,0.019060006,0.020356766,0.008979849,0.00898242,0.019062588,0.020356766
471,lap_201807_site01,30,0.999999837,0.857675259,0.782363545,0.939283276,0.729669798,0.828706466,0.910368935,0.96825206
472,lap_201807_site01,31,0.999999762,0.995787501,0.999999881,0.999999881,0.995787521,0.995787521,1,1
