Site,FID_Fishnet,mangrove_area,nonmangrove_area,total_area,gridcode
lap_2018-07_site01,64689,158.3462321,397.4632036,555.8094357,4
lap_2018-07_site01,64690,171.6322439,384.1747247,555.8069686,105
lap_2018-07_site01,64691,555.8038842,0,555.8038842,107
lap_2018-07_site01,64692,555.8045752,0,555.8045752,108
lap_2018-07_site01,64693,555.8065517,0,555.8065517,108
lap_2018-07_site01,64694,555.8063376,0,555.8063376,108
lap_2018-07_site01,64695,555.8036446,0,555.8036446,108
lap_2018-07_site01,64696,295.6333696,260.1710436,555.8044132,108
lap_2018-07_site01,64697,252.4482641,303.3545849,555.8028489,108
lap_2018-07_site01,64698,555.8070474,0,555.8070474,108
lap_2018-07_site01,64699,555.8029946,0,555.8029946,108
lap_2018-07_site01,64700,307.7341864,248.0722812,555.8064677,106
lap_2018-07_site01,64701,0,555.8033495,555.8033495,103
lap_2018-07_site01,64702,0,555.8040406,555.8040406,1
lap_2018-07_site01,64703,0,555.8051121,555.8051121,0
lap_2018-07_site01,64704,0,327.6585808,327.6585808,0
lap_2018-07_site01,72841,0,63.84236513,63.84236513,0
lap_2018-07_site01,72842,0,526.567144,526.567144,0
lap_2018-07_site01,72843,0,555.802037,555.802037,0
lap_2018-07_site01,72844,102.492304,453.3139498,555.8062537,2
lap_2018-07_site01,72845,331.4795299,224.3266352,555.8061651,103
lap_2018-07_site01,72846,377.9700342,177.8298607,555.7998949,105
lap_2018-07_site01,72847,223.2790768,332.5216479,555.8007246,105
lap_2018-07_site01,72848,74.95539043,480.8462281,555.8016185,105
lap_2018-07_site01,72849,172.0315715,383.7710311,555.8026026,106
lap_2018-07_site01,72850,216.4774322,339.324297,555.8017292,107
lap_2018-07_site01,72851,539.4068157,16.3948678,555.8016835,108
lap_2018-07_site01,72852,555.8022183,0,555.8022183,108
lap_2018-07_site01,72853,555.8018822,0,555.8018822,108
lap_2018-07_site01,72854,555.8063376,0,555.8063376,108
lap_2018-07_site01,72855,555.8033561,0,555.8033561,108
lap_2018-07_site01,72856,551.1790617,4.62537101,555.8044327,108
lap_2018-07_site01,72857,337.972824,217.830363,555.803187,108
lap_2018-07_site01,72858,541.7053239,14.10105436,555.8063783,108
lap_2018-07_site01,72859,506.6378107,49.16491619,555.8027269,108
lap_2018-07_site01,72860,125.1609548,430.6456035,555.8065583,106
lap_2018-07_site01,72861,0,555.8044686,555.8044686,4
lap_2018-07_site01,72862,0,555.8042546,555.8042546,1
lap_2018-07_site01,72863,0,555.8040406,555.8040406,0
lap_2018-07_site01,72864,0,314.3325749,314.3325749,0
lap_2018-07_site01,81001,0,125.7363075,125.7363075,0
lap_2018-07_site01,81002,0,555.8049441,555.8049441,0
lap_2018-07_site01,81003,1.176174066,554.6263444,555.8025184,1
lap_2018-07_site01,81004,146.1730164,409.6304849,555.8035013,4
lap_2018-07_site01,81005,508.4878874,47.31567296,555.8035604,106
lap_2018-07_site01,81006,316.3285253,239.4757762,555.8043015,108
lap_2018-07_site01,81007,322.5532197,233.2516548,555.8048745,108
lap_2018-07_site01,81008,463.3449908,92.45952373,555.8045145,108
lap_2018-07_site01,81009,535.2048339,20.60328271,555.8081166,108
lap_2018-07_site01,81010,547.2096187,8.595242092,555.8048608,108
lap_2018-07_site01,81011,392.3561461,163.4498548,555.8060009,108
lap_2018-07_site01,81012,425.746342,130.0592168,555.8055589,108
lap_2018-07_site01,81013,437.9890905,117.8154352,555.8045256,108
lap_2018-07_site01,81014,450.40844,105.3985655,555.8070055,108
lap_2018-07_site01,81015,399.374499,156.4304107,555.8049097,108
lap_2018-07_site01,81016,270.3899714,285.4143401,555.8043115,107
lap_2018-07_site01,81017,260.3195106,295.4840967,555.8036073,107
lap_2018-07_site01,81018,142.9038026,412.903223,555.8070256,106
lap_2018-07_site01,81019,137.9118278,417.8917451,555.803573,107
lap_2018-07_site01,81020,33.08444982,522.7181137,555.8025635,104
lap_2018-07_site01,81021,5.772937738,550.0288379,555.8017756,3
lap_2018-07_site01,81022,0,555.8050376,555.8050376,0
lap_2018-07_site01,81023,0,514.061651,514.061651,0
lap_2018-07_site01,81024,0,256.0390226,256.0390226,0
lap_2018-07_site01,89161,0,201.2439329,201.2439329,0
lap_2018-07_site01,89162,0,555.8008434,555.8008434,0
lap_2018-07_site01,89163,67.62914609,488.1715181,555.8006642,2
lap_2018-07_site01,89164,336.2073533,219.5936814,555.8010347,104
lap_2018-07_site01,89165,500.6841684,55.12028787,555.8044562,107
lap_2018-07_site01,89166,263.1074767,292.6932249,555.8007016,108
lap_2018-07_site01,89167,467.6220443,88.17903058,555.8010749,108
lap_2018-07_site01,89168,555.8001011,0,555.8001011,108
lap_2018-07_site01,89169,555.8022439,0,555.8022439,108
lap_2018-07_site01,89170,555.7990484,0,555.7990484,108
lap_2018-07_site01,89171,555.8010248,0,555.8010248,108
lap_2018-07_site01,89172,555.8030013,0,555.8030013,108
lap_2018-07_site01,89173,555.8005223,0,555.8005223,108
lap_2018-07_site01,89174,555.8036923,0,555.8036923,108
lap_2018-07_site01,89175,555.8008772,0,555.8008772,108
lap_2018-07_site01,89176,106.450602,449.3514332,555.8020352,106
lap_2018-07_site01,89177,0,555.8010657,555.8010657,6
lap_2018-07_site01,89178,0,555.8046161,555.8046161,104
lap_2018-07_site01,89179,50.19828584,505.602176,555.8004619,7
lap_2018-07_site01,89180,116.5240827,439.2782197,555.8023024,105
lap_2018-07_site01,89181,94.17777572,461.622922,555.8006978,4
lap_2018-07_site01,89182,0,555.8026807,555.8026807,1
lap_2018-07_site01,89183,0,199.6606931,199.6606931,0
lap_2018-07_site01,97321,0,474.1432315,474.1432315,0
lap_2018-07_site01,97322,0,555.800677,555.800677,0
lap_2018-07_site01,97323,98.85552634,456.9477509,555.8032772,3
lap_2018-07_site01,97324,446.3323501,109.4684044,555.8007546,105
lap_2018-07_site01,97325,506.5539783,49.24903964,555.803018,108
lap_2018-07_site01,97326,409.6896208,146.111689,555.8013098,108
lap_2018-07_site01,97327,515.9885863,39.811938,555.8005243,108
lap_2018-07_site01,97328,550.3696107,5.432165551,555.8017763,108
lap_2018-07_site01,97329,555.8019554,0,555.8019554,108
lap_2018-07_site01,97330,555.8001674,0,555.8001674,108
lap_2018-07_site01,97331,555.8008584,0,555.8008584,108
lap_2018-07_site01,97332,518.8786741,36.92185058,555.8005246,108
lap_2018-07_site01,97333,464.9055125,90.89359336,555.7991059,108
lap_2018-07_site01,97334,478.4106259,77.39170842,555.8023343,108
lap_2018-07_site01,97335,410.227143,145.573413,555.800556,108
lap_2018-07_site01,97336,127.3573487,428.442986,555.8003346,105
lap_2018-07_site01,97337,3.484930814,552.3148593,555.7997901,4
lap_2018-07_site01,97338,0,555.8053991,555.8053991,2
lap_2018-07_site01,97339,59.39053968,496.4116353,555.802175,103
lap_2018-07_site01,97340,126.5686381,429.2331888,555.8018269,104
lap_2018-07_site01,97341,271.8643439,283.9375903,555.8019343,104
lap_2018-07_site01,97342,74.0611225,215.2925948,289.3537173,3
lap_2018-07_site01,97343,0,15.14179704,15.14179704,1
lap_2018-07_site01,105481,0,442.9885768,442.9885768,0
lap_2018-07_site01,105482,11.98155476,543.8176971,555.7992518,1
lap_2018-07_site01,105483,203.6123306,352.1866976,555.7990282,4
lap_2018-07_site01,105484,442.2543924,113.5442713,555.7986636,106
lap_2018-07_site01,105485,547.1663123,8.634109264,555.8004216,108
lap_2018-07_site01,105486,555.8005292,0,555.8005292,108
lap_2018-07_site01,105487,555.8001931,0,555.8001931,108
lap_2018-07_site01,105488,555.7994765,0,555.7994765,108
lap_2018-07_site01,105489,555.8019554,0,555.8019554,108
lap_2018-07_site01,105490,541.4524695,14.34599822,555.7984678,108
lap_2018-07_site01,105491,419.5637784,136.2369355,555.8007138,108
lap_2018-07_site01,105492,429.046016,126.7533901,555.7994061,108
lap_2018-07_site01,105493,479.8914312,75.90817835,555.7996095,108
lap_2018-07_site01,105494,517.9136198,37.8882521,555.8018719,108
lap_2018-07_site01,105495,437.967786,117.8315649,555.7993509,108
lap_2018-07_site01,105496,155.3849916,400.4139029,555.7988946,105
lap_2018-07_site01,105497,142.8798553,412.9193634,555.7992187,3
lap_2018-07_site01,105498,34.80592385,520.9943158,555.8002397,1
lap_2018-07_site01,105499,19.29719894,461.2717779,480.5689768,2
lap_2018-07_site01,105500,109.6745629,199.4044862,309.0790491,4
lap_2018-07_site01,105501,29.07692868,208.1047402,237.1816688,103
lap_2018-07_site01,105502,75.42409525,10.58456193,86.00865717,102
lap_2018-07_site01,113641,0,482.5469581,482.5469581,0
lap_2018-07_site01,113642,21.51650179,534.2853376,555.8018393,2
lap_2018-07_site01,113643,283.5146422,272.2841192,555.7987614,104
lap_2018-07_site01,113644,489.2055713,66.59569895,555.8012703,107
lap_2018-07_site01,113645,530.1074386,25.6967738,555.8042124,108
lap_2018-07_site01,113646,554.8429015,0.956792906,555.7996944,108
lap_2018-07_site01,113647,555.7999046,0,555.7999046,108
lap_2018-07_site01,113648,555.8005955,0,555.8005955,108
lap_2018-07_site01,113649,555.8050509,0,555.8050509,108
lap_2018-07_site01,113650,552.8628568,2.937640666,555.8004974,108
lap_2018-07_site01,113651,544.2056282,11.59465636,555.8002845,108
lap_2018-07_site01,113652,555.8013528,0,555.8013528,108
lap_2018-07_site01,113653,555.8020439,0,555.8020439,108
lap_2018-07_site01,113654,466.6355188,89.16805422,555.803573,108
lap_2018-07_site01,113655,52.42390921,503.3787024,555.8026116,108
lap_2018-07_site01,113656,1.605818021,554.1956533,555.8014714,105
lap_2018-07_site01,113657,13.66193518,542.1381748,555.80011,3
lap_2018-07_site01,113658,53.25223415,502.5520541,555.8042882,0
lap_2018-07_site01,113659,0,390.4503667,390.4503667,0
lap_2018-07_site01,121800,0,44.2473091,44.2473091,0
lap_2018-07_site01,121801,0,520.4981776,520.4981776,1
lap_2018-07_site01,121802,140.5329724,415.2642003,555.7971727,4
lap_2018-07_site01,121803,343.0965017,212.7014348,555.7979365,106
lap_2018-07_site01,121804,538.7533949,17.04332171,555.7967166,108
lap_2018-07_site01,121805,555.8005292,0,555.8005292,108
lap_2018-07_site01,121806,555.7955713,0,555.7955713,108
lap_2018-07_site01,121807,549.1328203,6.665313222,555.7981336,108
lap_2018-07_site01,121808,547.1794889,8.619449371,555.7989382,108
lap_2018-07_site01,121809,555.8012865,0,555.8012865,108
lap_2018-07_site01,121810,555.7984714,0,555.7984714,108
lap_2018-07_site01,121811,555.7971859,0,555.7971859,108
lap_2018-07_site01,121812,555.795398,0,555.795398,108
lap_2018-07_site01,121813,555.7975408,0,555.7975408,108
lap_2018-07_site01,121814,555.7982318,0,555.7982318,108
lap_2018-07_site01,121815,294.9527407,260.8453297,555.7980704,108
lap_2018-07_site01,121816,64.16828962,491.6287692,555.7970588,106
lap_2018-07_site01,121817,0,555.7968907,555.7968907,5
lap_2018-07_site01,121818,0,555.8027537,555.8027537,2
lap_2018-07_site01,121819,0,527.8471314,527.8471314,1
lap_2018-07_site01,121820,0,162.7542023,162.7542023,0
lap_2018-07_site01,129960,0,247.9774112,247.9774112,0
lap_2018-07_site01,129961,10.97350854,544.8244668,555.7979753,1
lap_2018-07_site01,129962,244.321435,311.4747198,555.7961547,103
lap_2018-07_site01,129963,340.8767164,214.9193922,555.7961086,106
lap_2018-07_site01,129964,506.8279528,48.96974687,555.7976997,108
lap_2018-07_site01,129965,555.8007433,0,555.8007433,108
lap_2018-07_site01,129966,555.7950687,0,555.7950687,108
lap_2018-07_site01,129967,550.9856456,4.81049454,555.7961402,108
lap_2018-07_site01,129968,541.2311694,14.56513171,555.7963011,108
lap_2018-07_site01,129969,554.076869,1.721563575,555.7984326,108
lap_2018-07_site01,129970,555.7961145,0,555.7961145,108
lap_2018-07_site01,129971,555.7970638,0,555.7970638,108
lap_2018-07_site01,129972,555.7948954,0,555.7948954,108
lap_2018-07_site01,129973,517.3404574,38.45707958,555.797537,108
lap_2018-07_site01,129974,446.8508982,108.9495551,555.8004533,108
lap_2018-07_site01,129975,348.9636712,206.8324188,555.79609,108
lap_2018-07_site01,129976,3.921414008,551.8752119,555.7966259,107
lap_2018-07_site01,129977,0,555.7945338,555.7945338,106
lap_2018-07_site01,129978,0,555.7991557,555.7991557,104
lap_2018-07_site01,129979,0,555.7948888,555.7948888,4
lap_2018-07_site01,129980,0,479.5389743,479.5389743,3
lap_2018-07_site01,129981,0,94.4612883,94.4612883,2
lap_2018-07_site01,138119,0.544267351,62.47200875,63.0162761,0
lap_2018-07_site01,138120,41.82208995,446.4990161,488.321106,0
lap_2018-07_site01,138121,110.4552203,445.3411202,555.7963405,1
lap_2018-07_site01,138122,283.8101568,271.9877887,555.7979455,3
lap_2018-07_site01,138123,293.0999174,262.6961472,555.7960646,105
lap_2018-07_site01,138124,542.3903415,13.40413371,555.7944752,107
lap_2018-07_site01,138125,555.7982643,0,555.7982643,108
lap_2018-07_site01,138126,555.7939973,0,555.7939973,108
lap_2018-07_site01,138127,555.7950687,0,555.7950687,108
lap_2018-07_site01,138128,555.7952571,0,555.7952571,108
lap_2018-07_site01,138129,555.799188,0,555.799188,108
lap_2018-07_site01,138130,555.7945406,0,555.7945406,108
lap_2018-07_site01,138131,549.6385607,6.158336744,555.7968974,108
lap_2018-07_site01,138132,535.7652907,20.03012715,555.7954178,108
lap_2018-07_site01,138133,542.2609992,13.53517574,555.7961749,108
lap_2018-07_site01,138134,554.030563,1.7664753,555.7970383,108
lap_2018-07_site01,138135,434.2967122,121.4976918,555.7944041,108
lap_2018-07_site01,138136,43.24209567,512.5545012,555.7965968,108
lap_2018-07_site01,138137,0,555.7956528,555.7956528,108
lap_2018-07_site01,138138,0,555.7992033,555.7992033,107
lap_2018-07_site01,138139,0,555.7960078,555.7960078,106
lap_2018-07_site01,138140,0,555.7961964,555.7961964,105
lap_2018-07_site01,138141,0,470.0106304,470.0106304,103
lap_2018-07_site01,138142,0,423.4353901,423.4353901,2
lap_2018-07_site01,138143,0,100.6095891,100.6095891,0
lap_2018-07_site01,146278,0,2.424358271,2.424358271,0
lap_2018-07_site01,146279,16.83842617,414.1557161,430.9941423,0
lap_2018-07_site01,146280,58.60917882,497.1887373,555.7979161,0
lap_2018-07_site01,146281,57.53904327,498.2576402,555.7966835,0
lap_2018-07_site01,146282,272.3388039,283.4561314,555.7949353,2
lap_2018-07_site01,146283,489.9146676,65.88057971,555.7952473,5
lap_2018-07_site01,146284,555.6071296,0.18802263,555.7951522,107
lap_2018-07_site01,146285,555.7977617,0,555.7977617,108
lap_2018-07_site01,146286,528.5579393,27.23561927,555.7935586,108
lap_2018-07_site01,146287,555.2309002,0.56366598,555.7945662,108
lap_2018-07_site01,146288,555.7941857,0,555.7941857,108
lap_2018-07_site01,146289,555.7990216,0,555.7990216,108
lap_2018-07_site01,146290,555.793347,0,555.793347,108
lap_2018-07_site01,146291,555.7942044,0,555.7942044,108
lap_2018-07_site01,146292,534.4560733,21.33726695,555.7933403,108
lap_2018-07_site01,146293,555.7956783,0,555.7956783,108
lap_2018-07_site01,146294,555.7992287,0,555.7992287,108
lap_2018-07_site01,146295,555.7949618,0,555.7949618,108
lap_2018-07_site01,146296,476.304812,79.48923157,555.7940435,108
lap_2018-07_site01,146297,112.3556716,443.4389769,555.7946485,108
lap_2018-07_site01,146298,0,555.7963882,555.7963882,108
lap_2018-07_site01,146299,0,555.7946002,555.7946002,108
lap_2018-07_site01,146300,0,555.7915269,555.7915269,108
lap_2018-07_site01,146301,0,555.7936698,555.7936698,106
lap_2018-07_site01,146302,0,555.7931674,555.7931674,5
lap_2018-07_site01,146303,0,452.3999321,452.3999321,3
lap_2018-07_site01,146304,0,394.9472213,394.9472213,2
lap_2018-07_site01,146305,0,0.629054405,0.629054405,1
lap_2018-07_site01,154437,0,182.8222977,182.8222977,0
lap_2018-07_site01,154438,0,517.3261822,517.3261822,0
lap_2018-07_site01,154439,0,555.795504,555.795504,0
lap_2018-07_site01,154440,0,555.7972663,555.7972663,0
lap_2018-07_site01,154441,144.1959041,411.5987684,555.7946725,1
lap_2018-07_site01,154442,504.7831263,51.01037627,555.7935026,3
lap_2018-07_site01,154443,548.3000264,7.495960501,555.7959869,105
lap_2018-07_site01,154444,503.3146622,52.48035218,555.7950144,107
lap_2018-07_site01,154445,540.8869727,14.91177335,555.7987461,108
lap_2018-07_site01,154446,546.4747284,9.32148741,555.7962158,108
lap_2018-07_site01,154447,555.7978756,0,555.7978756,108
lap_2018-07_site01,154448,555.796254,0,555.796254,108
lap_2018-07_site01,154449,555.798519,0,555.798519,108
lap_2018-07_site01,154450,555.794466,0,555.794466,108
lap_2018-07_site01,154451,555.7964425,0,555.7964425,108
lap_2018-07_site01,154452,548.7300916,7.067431002,555.7975226,108
lap_2018-07_site01,154453,555.7957259,0,555.7957259,108
lap_2018-07_site01,154454,555.8003478,0,555.8003478,108
lap_2018-07_site01,154455,555.7946733,0,555.7946733,108
lap_2018-07_site01,154456,546.826217,8.96951981,555.7957369,108
lap_2018-07_site01,154457,413.9750077,141.8224418,555.7974495,108
lap_2018-07_site01,154458,33.89675706,521.9018052,555.7985623,108
lap_2018-07_site01,154459,0,555.7979097,555.7979097,108
lap_2018-07_site01,154460,0,555.7961218,555.7961218,108
lap_2018-07_site01,154461,0,555.7959078,555.7959078,107
lap_2018-07_site01,154462,0,555.7942863,555.7942863,106
lap_2018-07_site01,154463,0,555.7978368,555.7978368,105
lap_2018-07_site01,154464,0,555.7935699,555.7935699,104
lap_2018-07_site01,154465,0,487.9438362,487.9438362,4
lap_2018-07_site01,154466,0,280.177686,280.177686,2
lap_2018-07_site01,162597,0,168.2548831,168.2548831,0
lap_2018-07_site01,162598,0,555.794599,555.794599,0
lap_2018-07_site01,162599,0,555.792811,555.792811,0
lap_2018-07_site01,162600,18.34584967,537.4499353,555.795785,1
lap_2018-07_site01,162601,445.842581,109.9503659,555.7929468,3
lap_2018-07_site01,162602,544.9454921,10.8482024,555.7936945,105
lap_2018-07_site01,162603,530.2153604,25.57601833,555.7913787,107
lap_2018-07_site01,162604,555.793354,0,555.793354,108
lap_2018-07_site01,162605,555.7964018,0,555.7964018,108
