ID,Area_total,Area_overlap,Area_CONABIO,Area_GMW_calculated,Area_not_overlapped,Percent_overlap,Area_JCONABIO,Area_JGMW,Difference_JArea,%conabio_total,%GMW_total
1000,0.220102822,0,0,0.220102822,0.220102822,0,0,0.220102822,-0.220102822,0,1
1010,0.501943368,0,0,0.501943368,0.501943368,0,0,0.501943368,-0.501943368,0,1
1021,0.466646811,0,0,0.466646811,0.466646811,0,0,0.466646811,-0.466646811,0,1
1027,0.022286158,0,0,0.022286158,0.022286158,0,0,0.022286158,-0.022286158,0,1
1029,1.804442258,0,0,1.804442258,1.804442258,0,0,1.804442258,-1.804442258,0,1
1033,0.105513029,0,0,0.105513029,0.105513029,0,0,0.105513029,-0.105513029,0,1
1034,1.210459308,0,0,1.210459308,1.210459308,0,0,1.210459308,-1.210459308,0,1
1035,0.389044127,0,0,0.389044127,0.389044127,0,0,0.389044127,-0.389044127,0,1
1040,2.41602124,0,0,2.41602124,2.41602124,0,0,2.41602124,-2.41602124,0,1
1041,0.388818109,0,0,0.388818109,0.388818109,0,0,0.388818109,-0.388818109,0,1
1042,0.494993013,0,0,0.494993013,0.494993013,0,0,0.494993013,-0.494993013,0,1
1046,0.329980768,0,0,0.329980768,0.329980768,0,0,0.329980768,-0.329980768,0,1
1047,0.549970547,0,0,0.549970547,0.549970547,0,0,0.549970547,-0.549970547,0,1
1053,0.219413631,0,0,0.219413631,0.219413631,0,0,0.219413631,-0.219413631,0,1
1062,0.438915874,0,0,0.438915874,0.438915874,0,0,0.438915874,-0.438915874,0,1
1063,1.178317216,0,0,1.178317216,1.178317216,0,0,1.178317216,-1.178317216,0,1
1064,0.223394378,0,0,0.223394378,0.223394378,0,0,0.223394378,-0.223394378,0,1
1065,2.067137251,0,0,2.067137251,2.067137251,0,0,2.067137251,-2.067137251,0,1
1066,0.017564062,0,0,0.017564062,0.017564062,0,0,0.017564062,-0.017564062,0,1
1067,0.740110693,0,0,0.740110693,0.740110693,0,0,0.740110693,-0.740110693,0,1
1068,0.54463023,0,0,0.54463023,0.54463023,0,0,0.54463023,-0.54463023,0,1
